subject,description,priority,category
"Export to PDF is broken","The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"UI/UX Improvement Suggestion","The current workflow for log in requires too many clicks. It could be streamlined by changing the UI on the API keys section.","Low","Feature Request"
"Authentication failure for v2/users","Our application is receiving a consistent '403 Forbidden' from the /v2/users endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"Incorrect charge of $99","I was charged $99 but my plan is the Scale plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Data sync issue for Solutions LLC","There is a data synchronization delay of over 24 hours for new records to appear on the settings page. This is affecting our operations.","Medium","Technical"
"Suggestion for API endpoint /v2/reports","Could you enhance the /v2/reports endpoint to include webhook payload customization? This would save us from making multiple API calls.","Low","Feature Request"
"Requesting a refund","Due to the service outage for the past week, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Add team member to Innovate Inc.","How do I invite a new developer to a team? I can't find the option in the account settings.","Low","Account"
"Webhook delivery failing","We stopped receiving 'user.created' webhooks. The last successful delivery was 2 hours ago. We have checked our endpoint and it is healthy.","High","Technical"
"Dashboard not loading","The dashboard is showing a blank white screen. No data is loading. This is impacting all our users since 2 hours ago.","Critical","Technical"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Request to delete account","Please proceed with the permanent deletion of our account (QuantumLeap) and all associated data as per our company policy.","Medium","Account"
"Cannot save changes","Multiple users are unable to save changes when using from our mobile app (iOS). The console shows a JavaScript error.","High","Technical"
"Help with SSO configuration","We are trying to set up SSO with Azure AD and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
